14:56:28.198 [main] INFO  c.m.w.ModeApplication - [logStarting,55] - Starting ModeApplication using Java 1.8.0_151 on zhonghanlu with PID 12952 (D:\idea_project\springboot-mini-common\springboot-mini-common\emode-app\target\classes started by 14208 in D:\idea_project\springboot-mini-common\springboot-mini-common)
14:56:28.199 [main] INFO  c.m.w.ModeApplication - [logStartupProfileInfo,686] - The following 2 profiles are active: "dev", "druid-dev"
15:00:28.362 [main] INFO  c.m.w.ModeApplication - [logStarting,55] - Starting ModeApplication using Java 1.8.0_151 on zhonghanlu with PID 21444 (D:\idea_project\springboot-mini-common\springboot-mini-common\emode-app\target\classes started by 14208 in D:\idea_project\springboot-mini-common\springboot-mini-common)
15:00:28.368 [main] INFO  c.m.w.ModeApplication - [logStartupProfileInfo,686] - The following 2 profiles are active: "dev", "druid-dev"
15:00:29.537 [main] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.16.4
15:00:29.936 [redisson-netty-2-23] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,166] - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
15:00:29.943 [redisson-netty-2-3] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,166] - 32 connections initialized for 127.0.0.1/127.0.0.1:6379
15:00:29.990 [main] INFO  c.m.c.c.RedisConfig - [redisson,108] - 初始化 redis 配置
15:00:30.210 [main] INFO  io.undertow.servlet - [log,389] - Initializing Spring embedded WebApplicationContext
15:00:30.396 [main] INFO  c.m.c.c.JacksonConfig - [getObjectMapper,44] - 初始化 jackson 配置
15:04:11.042 [main] INFO  c.m.w.ModeApplication - [logStarting,55] - Starting ModeApplication using Java 1.8.0_151 on zhonghanlu with PID 9540 (D:\idea_project\springboot-mini-common\springboot-mini-common\emode-app\target\classes started by 14208 in D:\idea_project\springboot-mini-common\springboot-mini-common)
15:04:11.043 [main] INFO  c.m.w.ModeApplication - [logStartupProfileInfo,686] - The following 2 profiles are active: "dev", "druid-dev"
15:04:12.176 [main] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.16.4
15:04:12.551 [redisson-netty-2-19] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,166] - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
15:04:12.558 [redisson-netty-2-3] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,166] - 32 connections initialized for 127.0.0.1/127.0.0.1:6379
15:04:12.601 [main] INFO  c.m.c.c.RedisConfig - [redisson,108] - 初始化 redis 配置
15:04:12.796 [main] INFO  io.undertow.servlet - [log,389] - Initializing Spring embedded WebApplicationContext
15:04:12.976 [main] INFO  c.m.c.c.JacksonConfig - [getObjectMapper,44] - 初始化 jackson 配置
15:04:13.273 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,55] - Init DruidDataSource
15:04:13.406 [main] INFO  c.a.d.p.DruidDataSource - [init,1009] - {dataSource-1} inited
15:04:13.410 [Druid-ConnectionPool-Create-96858414] INFO  c.a.d.p.DruidAbstractDataSource - [setFailContinuous,1894] - {dataSource-1} failContinuous is true
15:05:35.393 [main] INFO  c.m.w.ModeApplication - [logStarting,55] - Starting ModeApplication using Java 1.8.0_151 on zhonghanlu with PID 24176 (D:\idea_project\springboot-mini-common\springboot-mini-common\emode-app\target\classes started by 14208 in D:\idea_project\springboot-mini-common\springboot-mini-common)
15:05:35.395 [main] INFO  c.m.w.ModeApplication - [logStartupProfileInfo,686] - The following 2 profiles are active: "dev", "druid-dev"
15:05:36.608 [main] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.16.4
15:05:37.030 [redisson-netty-2-14] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,166] - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
15:05:37.038 [redisson-netty-2-3] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,166] - 32 connections initialized for 127.0.0.1/127.0.0.1:6379
15:05:37.085 [main] INFO  c.m.c.c.RedisConfig - [redisson,108] - 初始化 redis 配置
15:05:37.283 [main] INFO  io.undertow.servlet - [log,389] - Initializing Spring embedded WebApplicationContext
15:05:37.478 [main] INFO  c.m.c.c.JacksonConfig - [getObjectMapper,44] - 初始化 jackson 配置
15:05:37.767 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,55] - Init DruidDataSource
15:05:38.307 [main] INFO  c.a.d.p.DruidDataSource - [init,1009] - {dataSource-1} inited
15:05:39.217 [main] INFO  io.undertow - [start,120] - starting server: Undertow - 2.2.24.Final
15:05:39.222 [main] INFO  org.xnio - [<clinit>,95] - XNIO version 3.8.7.Final
15:05:39.228 [main] INFO  org.xnio.nio - [<clinit>,58] - XNIO NIO Implementation Version 3.8.7.Final
15:05:39.252 [main] INFO  org.jboss.threads - [<clinit>,52] - JBoss Threads version 3.1.0.Final
15:05:39.293 [main] INFO  c.m.w.ModeApplication - [logStarted,61] - Started ModeApplication in 4.178 seconds (JVM running for 5.047)
15:05:39.644 [RMI TCP Connection(1)-192.168.0.47] INFO  io.undertow.servlet - [log,389] - Initializing Spring DispatcherServlet 'dispatcherServlet'
